Treatment,Group,Species,Mean # inverts,SE total invert,Mean # shred,Mean # pred,Mean # coll,Mean # grazers,SE shred,SE pred,SE coll,SE grazers
C,1,Red Maple ,2.333333333,0.890465773,0.25,0.33333333,1.416666667,0,0.179435141,0.188025358,0.542976272,0
C,1,Wild Grape,1.583333333,0.891528593,0.25,0,1.166666667,0,0.179435141,0,0.705318898,0
F,1,Red Maple ,1,1,0.6,0,0.2,0,0.6,0,0.2,0
F,1,Wild Grape ,0.6,0.4,0,0.2,0.4,0,0,0.2,0.244948974,0
C,2,American Sycamore,4.666666667,2.728450924,0,1,3.666666667,0,0,0.577350269,2.333333333,0
C,2,Black Walnut,1,0.577350269,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0
F,2,American Sycamore,0,0,0,0,0,0,0,0,0,0
F,2,Black Walnut,0,0,0,0,0,0,0,0,0,0
F,3,Red Maple ,0,0,0,0,0,0,0,0,0,0
F,3,Red Maple ,1.5,0.288675135,0,0,1.5,0,0,0,0.288675135,0
F,3,Wild Grape,0,0,0,0,0,0,0,0,0,0
F,3,Wild Grape,0,0,0,0,0,0,0,0,0,0
F,4,American Sycamore,13.5,12.02081528,6,3,3,0,8.485281374,4.242640687,0,0
C,4,American Sycamore,20.33333333,4.041451884,6.666666667,2.333333333,7.333333333,0,5.507570547,1.527525232,2.081665999,0
F,4,Black Walnut,5,4.242640687,0,1,2,0,0,1.414213562,2.828427125,0
C,4,Black Walnut,11.66666667,3.785938897,1,1,8.666666667,0,1,0,2.081665999,0
F,5,American Beech,4.380952,1.319228,3,8.375,1.888889,0,2,3.011511,0.260579,0
F,5,American Beech,3.944444,0.722588,1,3,5.578947,0,0,0.654654,1.231449,0
F,5,Eastern Cottonwood,5.428571,1.784285,0,6.666667,3.666667,0,0,4.176655,1.452966,0
F,5,Eastern Cottonwood,2.173913,0.278705,2.8,3,2,0,0.663325,2,0.348155,0
F,6,Alder,13.66,6.33,3.22,3.33,3.66,3,2.33,4.03,2.87,1.63
F,6,Red Oak,12.33,6.22,3.22,4,2.66,1.66,4.71,2.83,1.89,1.25
F,6,Alder,0,0,0,0,0,0,0,0,0,0
F,6,Red Oak,0,0,0,0,0,0,0,0,0,0
F,7,Red Maple ,4,3.464101615,0,4,4,0,0,0,6,0
F,7,Red Maple ,3.194444444,1.30644178,1,1,3.96,1.714285714,0,0,1.779438114,1.130889723
F,7,Wild Grape,0,0,0,0,0,0,0,0,0,0
F,7,Wild Grape,6.777777778,6.504509357,0,0,7.5,1,0,0,7.191264542,0
F,8,American Sycamore,0,0,0,0,0,0,0,0,0,0
F,8,Black Walnut,0,0,0,0,0,0,0,0,0,0
C,8,American Sycamore,6.5625,0.376534315,5,1.666666667,10.66666667,0,0.557374799,1.016530045,0.641505122,0
C,8,Black Walnut,1.9375,0.281843013,0.333333333,0.5,4,0,0,,0.363067737,0
C,10,American Beech,2.384615385,0.655728813,0,1,3,0,,,0.989904397,
C,10,Eastern Cottonwood,1.6,0.333333333,0,1,2.333333333,0,,,0.333333333,
F,10,Eastern Cottonwood,0,,0,0,0,0,,,,
F,10,American Beech,0,,0,0,0,0,,,,
F,11,American Beech,1,0.96560756,1,0,0.5,0,0,0,0,0
F,11,American Beech,1.806451613,0.5,2,1.222222222,2,0.222222222,0.881396,0.687184,1.198957881,0.471404521
F,11,Eastern Cottonwood,2,1.676896977,0,0,0.111111111,0,0,0,0,0
F,11,Eastern Cottonwood,2.695652174,1,2.33333333,1.666666667,0.111111111,0.222222222,1.959592,0.829156,0.943398,0
C,12,Red Oak,3.78,0.07204382,0,0.1471,0.5,0.3529,0,0.94280904,2.27167203,1.88561808
C,12,Alder,2.888888889,2.548298876,0,0.444444444,1.333333333,0.888888889,0,0.675862503,0.745355992,1.30998068
F,12,Red Oak,0,0,0,0,0,0,0,0,0,0
F,12,Alder,0,0,0,0,0,0,0,0,0,0