Group,Lab,Leaf_Species,Week,Treatment,Replicate,Order,Family,Genus,FFG,Count
3,T,Red Maple,0,C,,Ephemeroptera,Heptageniidae,Macdunnoa ,CG,2
3,T,Red Maple,2,C,,Trichoptera ,Glossosomatidae,Glossosoma,CF,1
3,T,Red Maple,4,C,,Trichoptera,Limnephilidae ,Goera,CF,1
3,T,Red Maple,4,C,,Ephemeroptera,Heptageniidae,Macdunnoa ,CG,2
2,T,American Sycamore,4,C,1,Trichoptera,Philopotamidae,Chimarra,CF,1
2,T,American Sycamore,4,C,2,Amphipoda,Talitridae,Hyalella,CG,1
2,T,American Sycamore,2,C,3,Odonata,Calopterygidae,Caleopteryx,P,1
2,T,Black Walnut,2,C,2,Coleoptera,Dytiscidae,Agabus,P,2
2,T,American Sycamore,6,C,1,Decapoda,Cambaridae,Cambarus,CG,1
2,T,American Sycamore,4,C,1,Ephemeroptera,Caenidae,Caenis,CG,1
2,T,American Sycamore,6,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,4
2,T,American Sycamore,6,C,3,Plecoptera,Chloroperlidae,Haploperla,P,2
2,T,American Sycamore,6,C,3,Trichoptera,Philopotamidae,Chimarra,CF,2
2,T,American Sycamore,6,C,2,Ephemeroptera,Leptohyphidae,Tricorythodes,CG,1
2,T,Black Walnut,6,C,3,Decapoda,Cambaridae,Cambarus,CG,1
4,T,American Sycamore,4,C,2,Decapoda,Astacidae,,CG,1
4,T,American Sycamore,2,C,3,Ephemeroptera,Heptageniidae,Stenonema,SC,5
4,T,American Sycamore,2,C,2,Ephemeroptera,Leptohyphidae,Tricorythodes,CG,2
4,T,American Sycamore,2,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,2
4,T,Black Walnut,2,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,2,C,2,Plecoptera,Perlidae,Agnetina,P,1
4,T,American Sycamore,2,C,1,Megaloptera,Sialidae,Sialis,P,1
4,T,American Sycamore,2,C,2,Plecoptera,Nemouridae,Amphinemura,SH,1
4,T,American Sycamore,2,C,1,Trichoptera,Hydropsychidae,Hydropsyche,SC,1
4,T,American Sycamore,2,F,2,Trichoptera,Hydropsychidae,Diplectrona,CF,2
4,T,American Sycamore,2,F,2,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,Black Walnut,2,F,2,Trichoptera,Hydropsychidae,Macrostemum,CF,1
4,T,Black Walnut,2,F,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,Black Walnut,2,F,1,Trichoptera,Hydropsychidae,Hydropsyche,SC,3
4,T,Black Walnut,2,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,Black Walnut,2,F,1,Gastropoda,Physidae,Physa,CG,1
4,T,American Sycamore,2,F,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,American Sycamore,2,C,2,Ephemeroptera,Caenidae,Caenis,CG,1
4,T,American Sycamore,2,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Isonychiidae,Isonychia,CF,1
4,T,Black Walnut,2,C,2,Trichoptera,Helicopsychidae,Helicopsyche,SC,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Leptophlebiidae,Habrophlebia,CG,1
4,T,Black Walnut,2,C,2,Plecoptera,Perlidae,Paragnetina,P,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Heptageniidae,Stenonema,SC,3
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,6
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Diplectrona,CF,1
4,T,American Sycamore,2,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,American Sycamore,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,SC,2
4,T,American Sycamore,4,C,3,Plecoptera,Perlodidae,Isoperla,P,1
4,T,American Sycamore,4,C,3,Diptera,Chironomidae,Chironomus,P,3
4,T,American Sycamore,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,c,3,Megaloptera,Corydalidae,Nigronia,P,1
4,T,American Sycamore,6,C,3,Plecoptera,Capniidae,Allocapnia,SH,2
4,T,American Sycamore,6,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,C,1,Ephemeroptera,Heptageniidae,Epeorus,SC,1
4,T,American Sycamore,6,C,1,Plecoptera,Capniidae,Allocapnia,SH,7
4,T,Black Walnut,4,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,Black Walnut,4,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
4,T,Black Walnut,4,C,2,Ephemeroptera,Caenidae,Caenis,CG,1
4,T,Black Walnut,4,C,3,Plecoptera,Capniidae,Allocapnia,SH,1
4,T,Black Walnut,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,Black Walnut,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
4,T,Black Walnut,6,C,1,Plecoptera,Capniidae,Allocapnia,SH,1
4,T,Black Walnut,6,C,1,Diptera,Chironomidae,Chironomus,P,1
4,T,Black Walnut,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,4,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
4,T,American Sycamore,6,F,2,Plecoptera,Perlodidae,Isoperla,P,2
4,T,American Sycamore,4,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,3
4,T,American Sycamore,4,C,2,Plecoptera,Capniidae,Allocapnia,SH,7
4,T,American Sycamore,6,F,2,Trichoptera,Polycentropodidae ,Neureclipsis,CF,2
4,T,American Sycamore,6,F,2,Plecoptera,Capniidae,Allocapnia,SH,7
4,T,American Sycamore,6,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,5
4,T,Black Walnut,6,C,3,Ephemeroptera,Caenidae,Caenis,CG,3
4,T,Black Walnut,6,C,3,Trichoptera,Polycentropodidae ,Neureclipsis,CF,1
4,T,American Sycamore,6,F,1,Plecoptera,Capniidae,Allocapnia,SH,2
4,T,American Sycamore,6,F,1,Ephemeroptera,Heptageniidae,,SC,1
4,T,American Sycamore,6,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
4,T,American Sycamore,6,F,1,Plecoptera,Chloroperlidae,Alloperla,P,1
4,T,American Sycamore,6,F,1,Plecoptera,Perlodidae,Remenus,P,1
4,T,American Sycamore,6,F,1,Plecoptera,Leuctridae,Leuctra,SH,3
4,T,American Sycamore,6,F,1,Diptera,Chironomidae,,,2
4,T,Black Walnut,6,C,3,Plecoptera,Capniidae,Allocapnia,SH,1
4,T,American Sycamore,6,C,2,Ephemeroptera,Leptophlebiidae,Leptophlebia,CG,1
4,T,American Sycamore,6,C,2,Plecoptera,Capniidae,Allocapnia,SH,3
4,T,Black Walnut,6,F,2,Plecoptera,Chloroperlidae,Alloperla,,1
4,T,American Sycamore,6,C,2,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,Black Walnut,6,F,2,Plecoptera,Chloroperlidae,Haploperla,P,1
5,T,American Beech,2,C,1,Diptera,Tipulidae,Antocha,CG,5
5,T,American Beech,2,C,1,Ephemeroptera,Baetidae,Baetis,CG,1
5,T,American Beech,2,C,1,Ephemeroptera,Ephemerellidae,Drunella,SC,2
5,T,American Beech,2,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
5,T,American Beech,2,C,2,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,2,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,American Beech,2,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,6
5,T,American Beech,2,F,1,Diptera,Tipulidae,Antocha,CG,1
5,T,American Beech,2,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,American Beech,2,F,2,Diptera,Tipulidae,,CG,1
5,T,American Beech,2,F,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
5,T,American Beech,4,C,1,Diptera,Chironomidae,,Various,1
5,T,American Beech,4,C,1,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,4,C,1,Plecoptera,Chloroperlidae,,P,3
5,T,American Beech,4,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,4
5,T,American Beech,4,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,17
5,T,American Beech,4,C,1,Trichoptera,Phryganeidae,Ptilostomis,SH,1
5,T,American Beech,4,C,3,Coleoptera,Elmidae,Dubiraphia,CG,1
5,T,American Beech,4,C,3,Ephemeroptera,Heptageniidae,Stenacron,SC,2
5,T,American Beech,4,C,3,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,4,C,3,Ephemeroptera,Leptophlebiidae,Leptophlebia,CG,1
5,T,American Beech,4,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,4
5,T,American Beech,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
5,T,American Beech,4,F,1,Plecoptera,Leuctridae,Leuctra,SH,1
5,T,American Beech,4,F,1,Plecoptera,Perlodidae,Isoperla,P,8
5,T,American Beech,4,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
5,T,American Beech,6,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,3
5,T,American Beech,6,C,1,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,CG,3
5,T,American Beech,6,C,1,Plecoptera,Chloroperlidae,Sweltsa,P,1
5,T,American Beech,6,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,9
5,T,American Beech,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,16
5,T,American Beech,6,C,2,Diptera,Chironomidae,,Various,3
5,T,American Beech,6,C,2,Diptera,Tipulidae,,CG,1
5,T,American Beech,6,C,2,Ephemeroptera,Heptageniidae,Stenacron,SC,2
5,T,American Beech,6,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
5,T,American Beech,6,C,3,Decapoda,Cambaridae,,CG,1
5,T,American Beech,6,C,3,Diptera,Chironomidae,,Various,4
5,T,American Beech,6,C,3,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,6,C,3,Plecoptera,Chloroperlidae,,P,3
5,T,American Beech,6,C,3,Plecoptera,Leuctridae,Leuctra,SH,1
5,T,American Beech,6,C,3,Plecoptera,Perlodidae,Isoperla,P,6
5,T,American Beech,6,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,12
5,T,American Beech,6,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,14
5,T,American Beech,6,F,1,Diptera,Chironomidae,,Various,1
5,T,American Beech,6,F,1,Diptera,Chironomidae,,Various,1
5,T,American Beech,6,F,1,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,6,F,1,Plecoptera,Capniidae,Allocapnia,SH,5
5,T,American Beech,6,F,1,Plecoptera,Chloroperlidae,Haploperla,P,2
5,T,American Beech,6,F,1,Plecoptera,Perlodidae,Isoperla,P,22
5,T,American Beech,6,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
5,T,American Beech,6,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,American Beech,6,F,2,Diptera,Chironomidae,,Various,1
5,T,American Beech,6,F,2,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,American Beech,6,F,2,Plecoptera,Chloroperlidae,Haploperla,P,17
5,T,American Beech,6,F,2,Plecoptera,Perlodidae,Isoperla,P,15
5,T,American Beech,6,F,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,American Beech,6,F,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,Eastern Cottonwood,2,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
5,T,Eastern Cottonwood,2,C,2,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,Eastern Cottonwood,2,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
5,T,Eastern Cottonwood,2,C,3,Decapoda,Cambaridae,,CG,1
5,T,Eastern Cottonwood,4,C,1,Ephemeroptera,Baetidae,Baetis,CG,1
5,T,Eastern Cottonwood,4,C,1,Ephemeroptera,Heptageniidae,Epeorus,SH,1
5,T,Eastern Cottonwood,4,C,1,Ephemeroptera,Heptageniidae,Stenacron,SC,1
5,T,Eastern Cottonwood,4,C,1,Plecoptera,Chloroperlidae,Haploperla,P,1
5,T,Eastern Cottonwood,4,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
5,T,Eastern Cottonwood,4,C,3,Diptera,Tipulidae,Antocha,CG,1
5,T,Eastern Cottonwood,4,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,3
5,T,Eastern Cottonwood,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
5,T,Eastern Cottonwood,4,F,1,Plecoptera,Perlodidae,Isoperla,P,15
5,T,Eastern Cottonwood,4,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
5,T,Eastern Cottonwood,6,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,2
5,T,Eastern Cottonwood,6,C,1,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,CG,1
5,T,Eastern Cottonwood,6,C,1,Plecoptera,Capniidae,Allocapnia,SH,3
5,T,Eastern Cottonwood,6,C,1,Plecoptera,Capniidae,Paracapnia,SH,3
5,T,Eastern Cottonwood,6,C,1,Plecoptera,Leuctridae,Leuctra,SH,5
5,T,Eastern Cottonwood,6,C,1,Plecoptera,Perlodidae,Isoperla,P,5
5,T,Eastern Cottonwood,6,C,1,Plecoptera,Taeniopterygidae,Strophopteryx,SH,2
5,T,Eastern Cottonwood,6,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,4
5,T,Eastern Cottonwood,6,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
5,T,Eastern Cottonwood,6,C,3,Ephemeroptera,Heptageniidae,Stenacron,SC,2
5,T,Eastern Cottonwood,6,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
5,T,Eastern Cottonwood,6,F,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,6
5,T,Eastern Cottonwood,6,F,2,Diptera,Chironomidae,,Various,2
5,T,Eastern Cottonwood,6,F,2,Ephemeroptera,Heptageniidae,Stenacron,SC,7
5,T,Eastern Cottonwood,6,F,2,Plecoptera,Chloroperlidae,Haploperla,P,3
5,T,Eastern Cottonwood,6,F,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
1,T,Red Maple,2,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,2
1,T,Red Maple,4,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
1,T,Red Maple,4,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,5
1,T,Red Maple,4,C,2,Ephemeroptera,Heptageniidae,Stenonema,SC,1
1,T,Red Maple,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
1,T,Red Maple,6,C,1,Plecoptera,Leuctridae,Leuctra,SH,1
1,T,Red Maple,6,C,1,Ephemeroptera,Caenidae,Caenis,CG,1
1,T,Red Maple,6,C,1,Trichoptera,Polycentropodidae ,Polycentropus,P,1
1,T,Red Maple,6,C,2,Plecoptera,Chloroperlidae,Haploperla,P,1
1,T,Red Maple,6,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
1,T,Red Maple,6,C,3,Plecoptera,Chloroperlidae ,Haploperla,P,2
1,T,Red Maple,6,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
1,T,Red Maple,6,C,3,Ephemeroptera,Heptageniidae,Stenonema,SC,1
1,T,Red Maple,6,C,3,Plecoptera,Leuctridae,Leuctra,SH,2
1,T,Wild Grape,2,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
1,T,Wild Grape,2,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,3
1,T,Wild Grape,2,C,1,Trichoptera,Leptoceridae,Nectopsyche,SH,1
1,T,Wild Grape,6,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
1,T,Wild Grape,6,F,1,Plecoptera,Perlodidae,Isogenoides,P,1
1,T,Wild Grape,4,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
1,T,Wild Grape,4,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
1,T,Wild Grape,6,C,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
1,T,Wild Grape,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,5
1,T,Wild Grape,6,C,1,Plecoptera,Capniidae,Allocapnia,SH,1
1,T,Wild Grape,6,C,1,Ephemeroptera,Caenidae,Caenis,SH,1
1,T,Wild Grape,6,C,1,Diptera,Chironomidae,,CG,1
1,T,Wild Grape,6,C,2,Ephemeroptera,Ephemerellidae,Drunella,SC,1
1,T,Wild Grape,6,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
1,T,Red Maple,6,F,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
1,T,Red Maple,6,F,2,Ephemeroptera,Ephemerellidae,Drunella,SC,1
1,T,Red Maple,6,F,2,Plecoptera,Capniidae,Allocapnia,SH,1
1,T,Red Maple,6,F,2,Plecoptera,Leuctridae,Leuctra,SH,1
1,T,Red Maple,6,F,2,Ephemeroptera,Caenidae,Caenis,SH,1
6,T,Alder,2,C,2,Ephemeroptera,Heptageniidae,Stenonema,SC,2
6,T,Alder,2,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,3
6,T,Red Oak,4,C,2,Plecoptera,Chloroperlidae,Alloperla,P,1
6,T,Red Oak,4,C,2,Trichoptera,Philopotamidae,Wormaldia,CF,1
6,T,Alder,4,C,2,Diptera,Chironomidae,,Various,1
6,T,Alder,4,C,1,Diptera,Chironomidae,,Various,1
6,T,Alder,4,C,1,Trichoptera,Philopotamidae,Wormaldia,CF,1
6,T,Alder,4,C,1,Plecoptera,Perlidae,Hansoperla,P,1
6,T,Alder,4,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
6,T,Alder,4,C,1,Ephemeroptera,Heptageniidae,Stenacron,SC,1
6,T,Alder,4,C,1,Trichoptera,Hydropsychidae,Macrostemum,CF,1
6,T,Red Oak,4,C,3,Diptera,Chironomidae,,Various,2
6,T,Red Oak,4,C,3,Plecoptera,Chloroperlidae,Alloperla,P,2
6,T,Red Oak,4,C,3,Ephemeroptera,Heptageniidae,Stenonema,SC,1
6,T,Red Oak,4,C,3,Ephemeroptera,Leptophlebiidae,Leptophlebia,CG,1
6,T,Red Oak,4,C,3,Plecoptera,Perlidae,Hansoperla,P,1
6,T,Red Oak,4,C,1,Diptera,Chironomidae,,Various,2
6,T,Red Oak,4,C,1,Trichoptera,Hydropsychidae,Macrostemum,CF,1
6,T,Red Oak,4,C,1,Plecoptera,Chloroperlidae,Alloperla,P,2
6,T,Red Oak,4,C,1,Trichoptera,Hydropsychidae,Macrostemum,CF,1
6,T,Red Oak,4,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
6,T,Red Oak,4,C,1,Ephemeroptera,Oligoneuriidae,Isonychia,,1
6,T,Alder,4,C,3,Ephemeroptera,Heptageniidae,Stenonema,SC,1
6,T,Alder,4,C,3,Ephemeroptera,Leptophlebiidae,Leptophlebia,CG,1
6,T,Alder,4,C,3,Trichoptera,Hydropsychidae,Macrostemum,CF,1
6,T,Alder,6,C,1,Diptera,Chironomidae,,Various,1
6,T,Alder,6,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
6,T,Alder,6,C,1,Trichoptera,Hydropsychidae,Macrostemum,CF,1
6,T,Alder,6,C,1,Plecoptera,Perlidae,Hansoperla,P,1
6,T,Alder,6,C,1,Plecoptera,Chloroperlidae,Alloperla,P,2
6,T,Alder,6,C,1,Plecoptera,Chloroperlidae,Utaperla,P,1
6,T,Red Oak,6,C,3,Plecoptera,Capniidae,Paracapnia,SH,1
6,T,Red Oak,6,C,3,Plecoptera,Capniidae,Nemocapina,SH,1
6,T,Red Oak,6,C,3,Plecoptera,Capniidae,Damaged,SH,2
6,T,Red Oak,6,C,3,Plecoptera,Capniidae,Paracapnia,SH,1
6,T,Red Oak,6,C,3,Plecoptera,Chloroperlidae,Utaperla,P,3
6,T,Red Oak,6,C,3,Plecoptera,Chloroperlidae,Alloperla,P,2
6,T,Alder,6,C,3,Diptera,Athericidae,,P,1
6,T,Alder,6,C,3,Plecoptera,Capniidae,Paracapnia,SH,3
